epoch,step,train_ece,train_gate_H,train_lambda_,train_loss,train_mAP,train_rec1,train_w_image,train_w_text,val_ece,val_gate_H,val_lambda_,val_loss,val_mAP,val_rec1,val_w_image,val_w_text
0,15,,,,,,,,,0.0032841337379068136,0.6930913329124451,0.0,0.08832419663667679,0.5329216122627258,0.5400000214576721,0.49913719296455383,0.5008627772331238
0,15,0.006073491182178259,0.6931137442588806,0.0,0.08963567018508911,0.5037646293640137,0.5249999761581421,0.4989401698112488,0.501059889793396,,,,,,,,
1,31,,,,,,,,,0.003335734596475959,0.6931145191192627,0.019999999552965164,0.07442852854728699,0.5544831156730652,0.550000011920929,0.5011237263679504,0.49887627363204956
1,31,0.00576044199988246,0.6929764151573181,0.019999997690320015,0.0755217969417572,0.5324628949165344,0.5329999923706055,0.4993884265422821,0.5006116032600403,,,,,,,,
2,47,,,,,,,,,0.0033803845290094614,0.693137526512146,0.03999999910593033,0.06053556501865387,0.5544831156730652,0.550000011920929,0.49922823905944824,0.5007717609405518
2,47,0.00490148551762104,0.693085789680481,0.03999999538064003,0.06115137040615082,0.5418785214424133,0.5370000004768372,0.500150203704834,0.49984973669052124,,,,,,,,
3,63,,,,,,,,,0.003431783989071846,0.6931442022323608,0.05999999865889549,0.046641670167446136,0.5544831156730652,0.550000011920929,0.5001696944236755,0.4998302757740021
3,63,0.004728436470031738,0.6931283473968506,0.05999999865889549,0.04711949825286865,0.5336186289787292,0.5440000295639038,0.500078022480011,0.4999220073223114,,,,,,,,
4,79,,,,,,,,,0.003475900972262025,0.6931449770927429,0.07999999821186066,0.032750606536865234,0.5223228335380554,0.5400000214576721,0.4998951852321625,0.5001048445701599
4,79,0.00629468634724617,0.693138599395752,0.07999999076128006,0.0339619517326355,0.5611910223960876,0.5519999861717224,0.5000256896018982,0.4999742805957794,,,,,,,,
