epoch,step,test_ece,test_gate_H,test_lambda_,test_loss,test_mAP,test_rec1,test_w_image,test_w_text,train_ece,train_gate_H,train_lambda_,train_loss,train_mAP,train_rec1,train_w_image,train_w_text,val_ece,val_gate_H,val_lambda_,val_loss,val_mAP,val_rec1,val_w_image,val_w_text
0,15,,,,,,,,,,,,,,,,,0.003391350619494915,0.69305819272995,0.0,0.08821678906679153,0.521994411945343,0.49000000953674316,0.503684401512146,0.496315598487854
0,15,,,,,,,,,0.004307242576032877,0.6931086182594299,0.0,0.08866001665592194,0.4743538200855255,0.492000013589859,0.4989398121833801,0.5010601878166199,,,,,,,,
1,31,,,,,,,,,,,,,,,,,0.0034480607137084007,0.6931057572364807,0.019999999552965164,0.07431665062904358,0.49864378571510315,0.49000000953674316,0.49869975447654724,0.5013002157211304
1,31,,,,,,,,,0.006136127281934023,0.6929464340209961,0.019999997690320015,0.07561544328927994,0.48319128155708313,0.5,0.5000070929527283,0.49999287724494934,,,,,,,,
2,47,,,,,,,,,,,,,,,,,0.0034829305950552225,0.693142831325531,0.03999999910593033,0.06042836979031563,0.48481667041778564,0.47999998927116394,0.5001968145370483,0.4998031556606293
2,47,,,,,,,,,0.005901117343455553,0.6930963397026062,0.03999999538064003,0.06155341863632202,0.4945708215236664,0.5070000290870667,0.4999074637889862,0.5000925660133362,,,,,,,,
3,63,,,,,,,,,,,,,,,,,0.003511693561449647,0.6931437849998474,0.05999999865889549,0.046544965356588364,0.43982642889022827,0.4699999988079071,0.5007205009460449,0.49927952885627747
3,63,,,,,,,,,0.00627655116841197,0.6931383609771729,0.05999999865889549,0.047817837446928024,0.4930075407028198,0.515999972820282,0.5000091195106506,0.49999091029167175,,,,,,,,
4,79,,,,,,,,,,,,,,,,,0.003540786448866129,0.6931449770927429,0.07999999821186066,0.03266064450144768,0.4279131293296814,0.47999998927116394,0.49973800778388977,0.5002620220184326
4,79,,,,,,,,,0.005359996575862169,0.6931393146514893,0.07999999076128006,0.03343961015343666,0.5073162913322449,0.5270000100135803,0.5000866651535034,0.49991336464881897,,,,,,,,
5,80,0.005782342050224543,0.6931452751159668,0.0,0.08896690607070923,0.45514288544654846,0.4099999964237213,0.4998217821121216,0.5001782774925232,,,,,,,,,,,,,,,,
